timestamp_us,lin_m,lin_b
1777478677138462,164736.7974559654,-5245.553766516903
1777478677148461,190748.35610254973,-5703.0981089340585
1777478677158462,183820.17844359353,-6135.3376727197765
1777478677168462,199008.97812193062,-6519.309079765769
1777478677178462,189796.71986421707,-6838.695611915853
1777478677188451,202071.97004867098,-7079.8465766432555
1777478677198461,232547.15401047797,-7298.139258514063
1777478677208461,249626.55576418177,-7510.766799061078
1777478677218454,227597.05349557733,-7797.608775454289
1777478677228459,289005.5229601387,-8112.991641290677
1777478677238457,242206.26834405627,-8436.231844798383
1777478677248462,281969.8305975999,-8701.97230496378
1777478677258454,298705.4985409513,-8928.030257528515
1777478677268448,285123.76862279605,-9212.732560704435
1777478677278455,307456.8348778678,-9498.201843769793
1777478677288461,318782.6697532614,-9740.642531004962
1777478677298452,260871.2922791112,-10004.606044149496
1777478677308460,296792.5038174468,-10185.855811003757
1777478677318460,321501.3083111733,-10466.955121667197
1777478677328453,328446.93837477826,-10773.630410204834
1777478677338459,356965.81786501536,-11047.52344596394
1777478677348462,294830.646100245,-11441.711017937161
1777478677358461,338761.4732242133,-11685.936348633615
1777478677368462,340669.5204605992,-11930.781334508629
1777478677378450,391103.7647436432,-12200.85889327723
1777478677388452,397150.3240051285,-12434.839612242218
1777478677398462,392896.79671680543,-12609.352995608038
1777478677408459,371064.98496531136,-12852.905969209123
1777478677418457,410956.49389785196,-13060.571265587776
1777478677428460,389134.3271788873,-13279.186018017797
1777478677438450,372226.6541711323,-13590.26521656891
1777478677448452,388568.17171948246,-13763.868110309957
1777478677458454,477841.64701303834,-13797.181402714885
1777478677468428,385631.999070013,-13966.108118828277
1777478677478420,430292.13837408996,-14027.137710069415
1777478677488458,461502.38186733914,-14039.63696689539
1777478677498454,405271.84055660473,-14109.723683850989
1777478677508431,381169.27966990415,-14180.447580177994
1777478677518379,404535.3892791639,-14140.769923713908
1777478677528461,452813.1292847287,-13994.546041775553
1777478677538443,497426.8074538522,-13854.361256505872
1777478677548428,694560.6774032468,-13569.733979226707
1777478677558451,423077.757427335,-13595.320740630728
1777478677568461,444488.73058148404,-13399.631969143333
